"id","title","area","requirement","rationale","verification","supports_user_requirements","priority","status","owner","source","depends_on","roadmap_target","last_updated"
"TR-001","Supported Python runtime","Platform","The package shall declare and test one supported Python runtime range and reject unsupported interpreters before normal execution.","A clear runtime contract prevents unsupported installations and false compatibility claims.","Build and install release artifacts on every declared Python version; run help, version, initialization, and core lifecycle smoke tests.","UR-013; UR-048","Must","Accepted","Maintainer","pyproject.toml#project; .github/workflows/tests.yml","","0.2.0 / Phase 13","2026-08-16"
"TR-002","Canonical files and rebuildable projections","Persistence","Core Roadmap entities shall have one human-readable versioned Markdown and YAML representation at the stable ID-based path defined by ADR-0010; databases indexes caches and analytics views shall be disposable projections.","Diffable portable canonical storage is the central product constraint while projections provide scalable queries.","Round-trip representative entities and relations; delete corrupt and stale every projection; rebuild from files; compare semantic queries; verify canonical files always win disagreements.","UR-001; UR-002; UR-003; UR-005; UR-037; UR-045; UR-046","Must","Accepted","Maintainer","docs/architecture/adr/0003-canonical-files-and-rebuildable-projections.md; docs/architecture/adr/0010-stable-id-based-canonical-paths.md","","0.2.0 / Phase 5","2026-08-16"
"TR-003","Enforced architecture boundaries","Architecture","Production modules shall follow the documented inward dependency direction enforced by an AST-based policy test and a shrinking exact violation baseline.","Enforced boundaries limit coupling and turn the migration into a ratchet.","Inject every documented forbidden import and a package cycle; verify exact diagnostics new-violation failure unused-exception failure and an empty baseline at refactor completion.","UR-001; UR-002; UR-003","Must","Accepted","Maintainer","docs/architecture/adr/0001-pragmatic-hexagonal-architecture.md#enforcement-contract; docs/architecture/refactor-implementation.md#architecture-enforcement","","0.2.0 / Phase 2","2026-08-16"
"TR-004","Stable CLI contract","CLI","Documented commands options exit-code categories and machine-readable output shall remain compatible within a release line unless a breaking change is approved and documented; incidental human presentation and internal Python imports are not public by default.","Users and scripts depend on predictable declared behavior while internal architecture must remain evolvable.","Exercise documented commands through installed-artifact tests; snapshot command schemas and structured output; require migration notes for approved breaks.","UR-001; UR-002; UR-003; UR-004; UR-008; UR-012; UR-013; UR-016; UR-040","Must","Accepted","Maintainer","docs/architecture/adr/0007-compatibility-and-evolution.md; README.md#quick-start; CHANGELOG.md","","0.2.0 / Phase 1","2026-08-16"
"TR-005","Owned validation and typed failures","Data integrity","Adapters shall validate representation Domain shall enforce single-aggregate invariants Application shall enforce contextual and cross-aggregate rules and inbound adapters shall translate typed failures to stable user-facing behavior.","One owner per rule prevents duplicated policy and framework leakage.","Test valid boundary and invalid CLI configuration frontmatter CSV identifier date enum aggregate and cross-aggregate cases; assert failure category cause redaction exit behavior and no mutation.","UR-001; UR-012; UR-016; UR-017; UR-019; UR-026; UR-042","Must","Accepted","Maintainer","docs/architecture/adr/0006-validation-and-error-ownership.md","","0.2.0 / Phase 4","2026-08-16"
"TR-006","Credential exclusion and redaction","Security","Roadmap shall not store Git or provider credentials and shall not serialize sensitive runtime values into repository data exported output telemetry or logs.","Repository data is commonly committed and shared.","Test legacy credential removal runtime redaction log capture export error behavior and absence of credential keys or persistence on supported platforms.","UR-009; UR-033; UR-039","Must","Accepted","Maintainer","SECURITY.md; docs/architecture/adr/0002-git-owned-synchronization.md","","0.2.0 / Phases 9-11","2026-08-16"
"TR-007","Safe filesystem scope","Security","All user-influenced paths and filenames shall be normalized, validated, and constrained to the intended project scope before file operations.","The CLI must prevent traversal, symlink escape, and unintended overwrite or deletion.","Test traversal, symlink, invalid name, overwrite, permission, temporary-file, and archive edge cases; run the high-severity Bandit gate in CI and use targeted Semgrep reviews for security-sensitive changes.","UR-001; UR-011; UR-014; UR-015; UR-043; UR-044; UR-047","Must","Accepted","Maintainer","SECURITY.md","TR-005","0.2.0 / Phase 5","2026-08-16"
"TR-008","Atomic and recoverable mutations","Persistence","Every mutating use case shall run in an Application-owned unit of work implemented with workspace concurrency control atomic same-filesystem replacement conflict detection and deterministic recovery of interrupted multi-document commits.","Partial writes and concurrent edits can corrupt canonical project data.","Inject interruption after every stage and test concurrent writers external edits disk-full permission loss stale locks rollback or roll-forward and projection failure on every supported OS.","UR-001; UR-011; UR-015; UR-028; UR-037; UR-043; UR-044; UR-047","Must","Accepted","Maintainer","docs/architecture/adr/0005-write-consistency-and-concurrency.md","TR-002; TR-007","0.2.0 / Phase 5","2026-08-16"
"TR-009","Offline core operation","Reliability","Core entity configuration reporting health recovery and repository-inspection operations shall not require network access or a provider client.","Offline-first behavior is a product promise and Git owns repository transport.","Run core journey tests with network access blocked; verify no Roadmap operation performs hidden fetch pull push or remote entity reconciliation.","UR-005; UR-007; UR-016; UR-017; UR-018; UR-020; UR-025; UR-026; UR-033; UR-040; UR-042; UR-046","Must","Accepted","Maintainer","docs/architecture/adr/0002-git-owned-synchronization.md","TR-002","0.2.0 / Phase 10","2026-08-16"
"TR-010","Boundary failure isolation","Integrations","Filesystem local Git telemetry database and external-command failures shall be translated by their adapters into bounded typed failures without corrupting canonical Roadmap data.","External mechanisms fail independently of local planning rules.","Inject timeout permission malformed output stale data cancellation and process failures; verify typed causal errors redaction canonical readability and deterministic recovery.","UR-007; UR-009; UR-012; UR-029; UR-033; UR-036; UR-037","Must","Accepted","Maintainer","docs/architecture/adr/0001-pragmatic-hexagonal-architecture.md; docs/architecture/adr/0006-validation-and-error-ownership.md","TR-008","0.2.0 / Phase 10","2026-08-16"
"TR-011","Automated quality gate","Quality","Every code change shall pass formatting, linting, type, architecture, security, complexity, dead-code, package, documentation, and automated test gates defined in CI.","A visible failing gate keeps the repository maintainable and reviewable.","Use negative gate tests to prove each policy fails when violated and verify required jobs complete on pull requests.","UR-013; UR-048","Must","Accepted","Maintainer","CONTRIBUTING.md#local-quality-checks; .github/workflows/tests.yml; docs/governance/README.md#quality-gate","","0.2.0 / Phase 13","2026-08-16"
"TR-012","Cross-platform behavior","Platform","Supported CLI behavior and canonical data shall be portable across every declared operating system without platform-specific import or path failures.","The project targets developer workstations and repository portability.","Run artifact and journey tests on the full OS matrix; include path, lock, newline, encoding, shell, and executable discovery cases.","UR-005; UR-013; UR-029; UR-033; UR-046; UR-047; UR-048","Must","Accepted","Maintainer","pyproject.toml#project; .github/workflows/tests.yml; roadmap/adapters/outbound/persistence/canonical.py","TR-001; TR-002","0.2.0 / Phase 13","2026-08-17"
"TR-013","Deterministic structured output","Interoperability","JSON, CSV, and other machine-readable output shall be syntactically valid, deterministic for equivalent inputs, schema-versioned where persisted, and separated from diagnostics.","Reliable output enables shell pipelines, reporting, and interchange.","Parse emitted formats; validate documented schemas; compare equivalent inputs; test nulls, Unicode, delimiters, errors, empty data, and stdout/stderr separation.","UR-008; UR-018; UR-039; UR-040; UR-041; UR-042","Must","Accepted","Maintainer","README.md#quick-start; roadmap/adapters/inbound/cli/output_formatter.py; docs/architecture/refactor-execution-plan.md","TR-004","0.2.0 / Phase 10","2026-08-16"
"TR-014","Structured observability","Operations","Logs audit events and optional telemetry shall provide correlation and diagnostic context without secrets changes to command results or a second store for canonical history.","Actionable diagnostics shorten recovery while Git history remains the audit source for committed roadmap state.","Capture representative success failure retry and recovery diagnostics; verify severity correlation redaction disabled mode output isolation and no duplication of canonical content.","UR-009; UR-012; UR-039; UR-042; UR-043","Should","Accepted","Maintainer","docs/architecture/adr/0002-git-owned-synchronization.md; docs/architecture/adr/0006-validation-and-error-ownership.md","TR-006; TR-013","0.2.0 / Phase 10","2026-08-16"
"TR-015","Documentation and release traceability","Delivery","User-visible behavior changes shall update relevant documentation, requirements, migration guidance, and the Unreleased changelog.","Traceability keeps product claims, implementation, and release communication aligned.","Review pull requests for requirement IDs, acceptance evidence, docs, changelog, migrations, and passing link/build checks.","UR-012; UR-013; UR-048","Must","Accepted","Maintainer","CONTRIBUTING.md#release-notes; CHANGELOG.md; docs/requirements/README.md","","0.2.0 / Phase 13","2026-08-16"
