"id","journey_id","journey","stage","title","persona","requirement","acceptance_criteria","depends_on","priority","status","owner","source","linked_work_items","roadmap_target","last_updated"
"UR-001","J-01","Adopt and initialize","Outcome","Initialize a repository","Developer","The CLI shall initialize a repository-local Roadmap workspace with the files and directories needed to begin planning work.","From a valid repository, initialization creates a usable workspace; invalid input returns actionable guidance; no partial workspace remains after failure.","UR-013","Must","Accepted","Maintainer","README.md#quick-start; roadmap/adapters/inbound/cli/init/commands.py","","0.2.0 / Phase 9","2026-08-16"
"UR-002","J-02","Capture and triage work","Outcome","Manage issues","Developer or project maintainer","The CLI shall support the complete issue lifecycle from capture through archival while preserving identity and history.","A user can create, find, inspect, prioritize, assign, update, progress, close, archive, and restore an issue; close and archive preserve its stable ID, path, workflow history, and relationships.","UR-001","Must","Accepted","Maintainer","README.md#quick-start; docs/architecture/adr/0004-domain-boundaries-and-stable-identity.md; docs/architecture/adr/0008-lifecycle-independent-of-storage.md; docs/architecture/adr/0010-stable-id-based-canonical-paths.md","","0.2.0 / Phases 6-7","2026-08-16"
"UR-003","J-04","Plan delivery","Outcome","Plan with projects and milestones","Project maintainer","The CLI shall organize work into projects and milestones that communicate scope, sequence, due dates, and progress.","A maintainer can establish a project and milestone, assign issues by stable ID, inspect scope and derived progress, and close or archive planning artifacts without losing traceability.","UR-001","Must","Accepted","Maintainer","README.md#milestone-planning; docs/NAMING_CONVENTIONS.md; docs/architecture/adr/0004-domain-boundaries-and-stable-identity.md","","0.2.0 / Phase 8","2026-08-16"
"UR-004","J-03","Execute daily work","Outcome","See and advance current priorities","Developer","The CLI shall help a developer select the most relevant work and advance it through a visible workflow.","The daily view identifies current, overdue, and high-priority work; the developer can start, update, block, review, and complete an item without losing context.","UR-002","Should","Accepted","Maintainer","README.md#quick-start; roadmap/adapters/inbound/cli/today.py; roadmap/adapters/inbound/cli/issues","","0.2.0 / Phase 10","2026-08-16"
"UR-005","J-01","Adopt and initialize","Invariant","Work offline with portable data","Developer","Users shall be able to read and manage core project data without a network connection or proprietary service.","Core issue, milestone, project, configuration, reporting, health, and recovery operations work without network access; canonical data remains human-readable and version-controllable.","UR-001","Must","Accepted","Maintainer","README.md#what-it-does; docs/architecture/adr/0002-git-owned-synchronization.md; docs/architecture/adr/0003-canonical-files-and-rebuildable-projections.md","","0.2.0 / Phase 5","2026-08-16"
"UR-006","J-05","Collaborate through Git","Outcome","Automate status from Git activity","Developer","The CLI shall connect Roadmap work to branches and recognized commit activity through explicit, reversible Git integration.","A user can set up integration, link work to a branch, apply a documented commit transition, inspect status, and remove automation without corrupting project data or unrelated hooks.","UR-002","Should","Deferred","Maintainer","README.md#git-integration; docs/architecture/adr/0002-git-owned-synchronization.md; roadmap/adapters/inbound/cli/git","","Post-0.2","2026-08-16"
"UR-007","J-05","Collaborate through Git","Outcome","Share canonical roadmap state through Git","Small development team","Users shall be able to collaborate on Roadmap state through ordinary Git workflows without configuring or running a Roadmap-managed synchronization backend.","Canonical roadmap files can be committed, fetched, merged or rebased, conflict-resolved, and pushed with standard Git; Roadmap performs no hidden network synchronization and reads the resulting repository state.","UR-001; UR-005","Must","Accepted","Maintainer","docs/architecture/adr/0002-git-owned-synchronization.md; docs/architecture/adr/0003-canonical-files-and-rebuildable-projections.md","","0.2.0 / Phases 10-11","2026-08-16"
"UR-008","J-07","Report and automate","Outcome","Use human and machine-readable output","Developer or automation","The CLI shall expose stable human-readable and machine-readable output suitable for terminals, scripts, exports, and stakeholder reports.","Supported commands produce documented rich, plain, JSON, CSV, or Markdown output; machine-readable stdout parses cleanly and contains no presentation noise.","UR-001","Must","Accepted","Maintainer","README.md#quick-start; docs/architecture/refactor-execution-plan.md; roadmap/adapters/inbound/cli/output_formatter.py","","0.2.0 / Phase 10","2026-08-16"
"UR-009","J-09","Configure and evolve","Security","Exclude credentials and sensitive data","Project maintainer","The CLI shall keep credentials and sensitive values out of repository data, command output, and routine logs.","Roadmap stores no Git or provider credentials and removes legacy credential configuration; sensitive runtime values are never serialized and output and logs are redacted.","UR-001","Must","Accepted","Maintainer","README.md#collaborating-through-git; SECURITY.md; docs/architecture/adr/0002-git-owned-synchronization.md","","0.2.0 / Phases 9-11","2026-08-16"
"UR-010","J-08","Diagnose and recover","Outcome","Diagnose project health","Project maintainer","The CLI shall identify invalid configuration, malformed entities, broken links, naming problems, dependency faults, and storage inconsistencies.","Health results identify the affected entity, severity, evidence, and corrective action and offer stable exit codes or structured output for automation.","UR-001","Should","Accepted","Maintainer","roadmap/adapters/inbound/cli/health; roadmap/application/use_cases/health.py; docs/NAMING_CONVENTIONS.md#automated-fix","","0.2.0 / Phase 10","2026-08-16"
