"id","category","surface","current_signature","disposition","target_contract","target_phase","owner","requirements","evidence","migration_guidance"
"CLI-001","cli","roadmap","opt:--version","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 13","Maintainer","TR-004","roadmap/adapters/inbound/cli/__init__.py",""
"CLI-002","cli","roadmap analysis","none","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 10","Maintainer","UR-008; TR-004; TR-013","roadmap/adapters/inbound/cli/analysis/commands.py",""
"CLI-003","cli","roadmap analysis critical-path","opt:--milestone|-m;opt:--include-closed;opt:--export[json|csv];opt:--output|-o","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 10","Maintainer","UR-008; TR-004; TR-013","roadmap/adapters/inbound/cli/analysis/commands.py",""
"CLI-004","cli","roadmap cleanup","opt:--keep;opt:--days;opt:--dry-run;opt:--force;opt:--backups-only;opt:--check-folders;opt:--check-duplicates;opt:--check-malformed;opt:--verbose|-v","Replace","Replace broad cleanup with diagnosed, scoped health repair and explicit recovery operations.","Phase 10","Maintainer","UR-010; UR-011; TR-004; TR-033","roadmap/adapters/inbound/cli/cleanup.py","Follow the target contract; migration details are finalized in the named implementation phase."
"CLI-005","cli","roadmap comment","none","Remove","Absent from the 0.2 command tree.","Phase 11","Maintainer","TR-004","docs/architecture/refactor-execution-plan.md","Use roadmap issue comment add/list; no-op top-level comment edit/delete and milestone claims are not carried forward."
"CLI-006","cli","roadmap comment create","arg:target_id:required;arg:message:required;opt:--type","Remove","Absent from the 0.2 command tree.","Phase 11","Maintainer","TR-004","docs/architecture/refactor-execution-plan.md","Use roadmap issue comment add/list; no-op top-level comment edit/delete and milestone claims are not carried forward."
"CLI-007","cli","roadmap comment delete","arg:comment_id:required","Remove","Absent from the 0.2 command tree.","Phase 11","Maintainer","TR-004","docs/architecture/refactor-execution-plan.md","Use roadmap issue comment add/list; no-op top-level comment edit/delete and milestone claims are not carried forward."
"CLI-008","cli","roadmap comment edit","arg:comment_id:required;arg:new_message:required","Remove","Absent from the 0.2 command tree.","Phase 11","Maintainer","TR-004","docs/architecture/refactor-execution-plan.md","Use roadmap issue comment add/list; no-op top-level comment edit/delete and milestone claims are not carried forward."
"CLI-009","cli","roadmap comment list","arg:target_id:required;opt:--type","Remove","Absent from the 0.2 command tree.","Phase 11","Maintainer","TR-004","docs/architecture/refactor-execution-plan.md","Use roadmap issue comment add/list; no-op top-level comment edit/delete and milestone claims are not carried forward."
"CLI-010","cli","roadmap config","none","Replace","Retain configuration intent through one versioned typed schema with declared project/user/runtime scopes.","Phase 9","Maintainer","UR-016; TR-004; TR-019","roadmap/adapters/inbound/cli/config/commands.py","Follow the target contract; migration details are finalized in the named implementation phase."
